nm, %T
900.000000, 19.994000
899.000000, 19.946000
898.000000, 19.892000
897.000000, 19.886000
896.000000, 19.828000
895.000000, 19.801000
894.000000, 19.755000
893.000000, 19.692000
892.000000, 19.677000
891.000000, 19.586000
890.000000, 19.545000
889.000000, 19.490000
888.000000, 19.479000
887.000000, 19.392000
886.000000, 19.368000
885.000000, 19.320000
884.000000, 19.250000
883.000000, 19.244000
882.000000, 19.162000
881.000000, 19.081000
880.000000, 19.048000
879.000000, 18.980000
878.000000, 18.939000
877.000000, 18.892000
876.000000, 18.837000
875.000000, 18.781000
874.000000, 18.746000
873.000000, 18.725000
872.000000, 18.657000
871.000000, 18.594000
870.000000, 18.532000
869.000000, 18.476000
868.000000, 18.466000
867.000000, 18.401000
866.000000, 18.378000
865.000000, 18.344000
864.000000, 18.276000
863.000000, 18.227000
862.000000, 18.231000
861.000000, 18.162000
860.000000, 18.108000
859.000000, 18.071000
858.000000, 18.033000
857.000000, 17.993000
856.000000, 17.959000
855.000000, 17.936000
854.000000, 17.906000
853.000000, 17.918000
852.000000, 17.842000
851.000000, 17.801000
850.000000, 17.817000
849.000000, 17.742000
848.000000, 17.741000
847.000000, 17.689000
846.000000, 17.682000
845.000000, 17.651000
844.000000, 17.601000
843.000000, 17.632000
842.000000, 17.597000
841.000000, 17.575000
840.000000, 17.544000
839.000000, 17.500000
838.000000, 17.512000
837.000000, 17.504000
836.000000, 17.488000
835.000000, 17.469000
834.000000, 17.435000
833.000000, 17.454000
832.000000, 17.428000
831.000000, 17.450000
830.000000, 17.400000
829.000000, 17.435000
828.000000, 17.402000
827.000000, 17.428000
826.000000, 17.398000
825.000000, 17.398000
824.000000, 17.403000
823.000000, 17.385000
822.000000, 17.394000
821.000000, 17.403000
820.000000, 17.399000
819.000000, 17.400000
818.000000, 17.406000
817.000000, 17.411000
816.000000, 17.413000
815.000000, 17.413000
814.000000, 17.425000
813.000000, 17.433000
812.000000, 17.444000
811.000000, 17.460000
810.000000, 17.457000
809.000000, 17.473000
808.000000, 17.482000
807.000000, 17.497000
806.000000, 17.498000
805.000000, 17.525000
804.000000, 17.531000
803.000000, 17.538000
802.000000, 17.551000
801.000000, 17.564000
800.000000, 17.581000
799.000000, 17.584000
798.000000, 17.618000
797.000000, 17.653000
796.000000, 17.649000
795.000000, 17.666000
794.000000, 17.668000
793.000000, 17.677000
792.000000, 17.693000
791.000000, 17.708000
790.000000, 17.705000
789.000000, 17.738000
788.000000, 17.750000
787.000000, 17.779000
786.000000, 17.786000
785.000000, 17.802000
784.000000, 17.823000
783.000000, 17.823000
782.000000, 17.852000
781.000000, 17.871000
780.000000, 17.888000
779.000000, 17.889000
778.000000, 17.895000
777.000000, 17.894000
776.000000, 17.936000
775.000000, 17.948000
774.000000, 17.958000
773.000000, 18.000000
772.000000, 18.019000
771.000000, 18.034000
770.000000, 18.029000
769.000000, 18.051000
768.000000, 18.078000
767.000000, 18.057000
766.000000, 18.090000
765.000000, 18.093000
764.000000, 18.099000
763.000000, 18.116000
762.000000, 18.130000
761.000000, 18.134000
760.000000, 18.128000
759.000000, 18.161000
758.000000, 18.179000
757.000000, 18.188000
756.000000, 18.211000
755.000000, 18.212000
754.000000, 18.228000
753.000000, 18.238000
752.000000, 18.264000
751.000000, 18.259000
750.000000, 18.262000
749.000000, 18.267000
748.000000, 18.289000
747.000000, 18.286000
746.000000, 18.283000
745.000000, 18.305000
744.000000, 18.305000
743.000000, 18.316000
742.000000, 18.325000
741.000000, 18.324000
740.000000, 18.327000
739.000000, 18.331000
738.000000, 18.336000
737.000000, 18.333000
736.000000, 18.351000
735.000000, 18.346000
734.000000, 18.345000
733.000000, 18.355000
732.000000, 18.352000
731.000000, 18.351000
730.000000, 18.359000
729.000000, 18.358000
728.000000, 18.358000
727.000000, 18.354000
726.000000, 18.346000
725.000000, 18.357000
724.000000, 18.352000
723.000000, 18.349000
722.000000, 18.344000
721.000000, 18.356000
720.000000, 18.332000
719.000000, 18.337000
718.000000, 18.321000
717.000000, 18.339000
716.000000, 18.340000
715.000000, 18.332000
714.000000, 18.319000
713.000000, 18.321000
712.000000, 18.317000
711.000000, 18.309000
710.000000, 18.301000
709.000000, 18.308000
708.000000, 18.288000
707.000000, 18.293000
706.000000, 18.276000
705.000000, 18.284000
704.000000, 18.277000
703.000000, 18.273000
702.000000, 18.272000
701.000000, 18.258000
700.000000, 18.254000
699.000000, 18.248000
698.000000, 18.239000
697.000000, 18.232000
696.000000, 18.227000
695.000000, 18.223000
694.000000, 18.218000
693.000000, 18.215000
692.000000, 18.196000
691.000000, 18.196000
690.000000, 18.200000
689.000000, 18.191000
688.000000, 18.188000
687.000000, 18.182000
686.000000, 18.175000
685.000000, 18.161000
684.000000, 18.167000
683.000000, 18.178000
682.000000, 18.167000
681.000000, 18.179000
680.000000, 18.171000
679.000000, 18.184000
678.000000, 18.178000
677.000000, 18.152000
676.000000, 18.150000
675.000000, 18.173000
674.000000, 18.150000
673.000000, 18.145000
672.000000, 18.154000
671.000000, 18.157000
670.000000, 18.152000
669.000000, 18.178000
668.000000, 18.192000
667.000000, 18.168000
666.000000, 18.169000
665.000000, 18.175000
664.000000, 18.186000
663.000000, 18.182000
662.000000, 18.201000
661.000000, 18.193000
660.000000, 18.209000
659.000000, 18.219000
658.000000, 18.219000
657.000000, 18.227000
656.000000, 18.234000
655.000000, 18.239000
654.000000, 18.233000
653.000000, 18.247000
652.000000, 18.245000
651.000000, 18.249000
650.000000, 18.251000
649.000000, 18.273000
648.000000, 18.271000
647.000000, 18.268000
646.000000, 18.251000
645.000000, 18.297000
644.000000, 18.285000
643.000000, 18.280000
642.000000, 18.301000
641.000000, 18.306000
640.000000, 18.291000
639.000000, 18.290000
638.000000, 18.302000
637.000000, 18.314000
636.000000, 18.312000
635.000000, 18.314000
634.000000, 18.301000
633.000000, 18.317000
632.000000, 18.308000
631.000000, 18.313000
630.000000, 18.323000
629.000000, 18.321000
628.000000, 18.319000
627.000000, 18.310000
626.000000, 18.323000
625.000000, 18.303000
624.000000, 18.316000
623.000000, 18.320000
622.000000, 18.324000
621.000000, 18.314000
620.000000, 18.299000
619.000000, 18.320000
618.000000, 18.300000
617.000000, 18.318000
616.000000, 18.313000
615.000000, 18.300000
614.000000, 18.321000
613.000000, 18.316000
612.000000, 18.307000
611.000000, 18.318000
610.000000, 18.309000
609.000000, 18.302000
608.000000, 18.305000
607.000000, 18.295000
606.000000, 18.285000
605.000000, 18.290000
604.000000, 18.307000
603.000000, 18.287000
602.000000, 18.289000
601.000000, 18.290000
600.000000, 18.293000
599.000000, 18.282000
598.000000, 18.254000
597.000000, 18.276000
596.000000, 18.252000
595.000000, 18.234000
594.000000, 18.230000
593.000000, 18.197000
592.000000, 18.188000
591.000000, 18.176000
590.000000, 18.147000
589.000000, 18.141000
588.000000, 18.128000
587.000000, 18.099000
586.000000, 18.073000
585.000000, 18.063000
584.000000, 18.037000
583.000000, 18.031000
582.000000, 18.011000
581.000000, 17.997000
580.000000, 17.983000
579.000000, 17.958000
578.000000, 17.941000
577.000000, 17.944000
576.000000, 17.935000
575.000000, 17.910000
574.000000, 17.898000
573.000000, 17.895000
572.000000, 17.869000
