nm, %T
900.000000, 91.242373
899.000000, 91.386744
898.000000, 91.448824
897.000000, 91.471387
896.000000, 91.512003
895.000000, 91.571133
894.000000, 91.521134
893.000000, 91.626041
892.000000, 91.477359
891.000000, 91.534770
890.000000, 91.598874
889.000000, 91.303232
888.000000, 90.646337
887.000000, 90.557962
886.000000, 90.226146
885.000000, 89.839545
884.000000, 89.449351
883.000000, 88.739347
882.000000, 88.477194
881.000000, 88.145275
880.000000, 88.129987
879.000000, 88.045311
878.000000, 88.056392
877.000000, 88.481897
876.000000, 88.703084
875.000000, 89.010170
874.000000, 89.203030
873.000000, 89.538051
872.000000, 89.901913
871.000000, 90.362483
870.000000, 90.880639
869.000000, 90.885473
868.000000, 91.297520
867.000000, 91.554807
866.000000, 91.794537
865.000000, 91.735717
864.000000, 92.049683
863.000000, 92.170955
862.000000, 92.150732
861.000000, 92.539368
860.000000, 92.539209
859.000000, 92.728681
858.000000, 92.724450
857.000000, 92.897238
856.000000, 92.894927
855.000000, 92.896967
854.000000, 92.689601
853.000000, 92.772631
852.000000, 92.938011
851.000000, 92.961070
850.000000, 92.692372
849.000000, 92.999662
848.000000, 92.847077
847.000000, 93.086099
846.000000, 92.953286
845.000000, 92.889921
844.000000, 93.102665
843.000000, 92.927632
842.000000, 92.731716
841.000000, 92.842105
840.000000, 92.949156
839.000000, 93.200000
838.000000, 92.839196
837.000000, 92.847349
836.000000, 92.943733
835.000000, 93.021925
834.000000, 93.048466
833.000000, 92.970093
832.000000, 93.085839
831.000000, 92.819484
830.000000, 93.114943
829.000000, 92.773157
828.000000, 93.000805
827.000000, 92.758779
826.000000, 93.073917
825.000000, 92.918726
824.000000, 92.937999
823.000000, 92.965200
822.000000, 92.917098
821.000000, 92.972476
820.000000, 92.913386
819.000000, 92.982759
818.000000, 92.887510
817.000000, 92.843605
816.000000, 93.039683
815.000000, 92.976512
814.000000, 93.038737
813.000000, 92.955888
812.000000, 92.885806
811.000000, 92.983963
810.000000, 93.011399
809.000000, 92.857552
808.000000, 92.929871
807.000000, 92.844488
806.000000, 93.022060
805.000000, 92.918688
804.000000, 92.938224
803.000000, 93.037975
802.000000, 93.122899
801.000000, 93.025507
800.000000, 92.912804
799.000000, 93.044813
798.000000, 92.961744
797.000000, 92.805755
796.000000, 92.906114
795.000000, 92.958225
794.000000, 93.043921
793.000000, 93.053120
792.000000, 92.974623
791.000000, 93.087870
790.000000, 93.086699
789.000000, 93.082647
788.000000, 93.087324
787.000000, 92.980483
786.000000, 93.056336
785.000000, 93.040108
784.000000, 92.969758
783.000000, 93.065141
782.000000, 92.997983
781.000000, 93.055789
780.000000, 92.972943
779.000000, 92.950975
778.000000, 93.020397
777.000000, 93.053537
776.000000, 92.813336
775.000000, 92.924003
774.000000, 92.966923
773.000000, 92.944444
772.000000, 92.874188
771.000000, 92.891206
770.000000, 92.994620
769.000000, 92.897900
768.000000, 92.820002
767.000000, 92.911336
766.000000, 92.752902
765.000000, 92.809374
764.000000, 92.762031
763.000000, 92.730183
762.000000, 92.691671
761.000000, 92.720856
760.000000, 92.668800
759.000000, 92.726171
758.000000, 92.661863
757.000000, 92.659996
756.000000, 92.630828
755.000000, 92.669668
754.000000, 92.549923
753.000000, 92.537559
752.000000, 92.498905
751.000000, 92.518758
750.000000, 92.634980
749.000000, 92.582252
748.000000, 92.514626
747.000000, 92.606366
746.000000, 92.566865
745.000000, 92.553947
744.000000, 92.543021
743.000000, 92.552959
742.000000, 92.540246
741.000000, 92.583497
740.000000, 92.633819
739.000000, 92.657247
738.000000, 92.637435
737.000000, 92.750777
736.000000, 92.638003
735.000000, 92.750463
734.000000, 92.717362
733.000000, 92.672296
732.000000, 92.720139
731.000000, 92.708844
730.000000, 92.701128
729.000000, 92.711624
728.000000, 92.646258
727.000000, 92.671897
726.000000, 92.679603
725.000000, 92.542354
724.000000, 92.551221
723.000000, 92.522753
722.000000, 92.471653
721.000000, 92.291349
720.000000, 92.346716
719.000000, 92.267001
718.000000, 92.369412
717.000000, 92.262392
716.000000, 92.322792
715.000000, 92.308532
714.000000, 92.390414
713.000000, 92.320288
712.000000, 92.433259
711.000000, 92.424491
710.000000, 92.530463
709.000000, 92.435001
708.000000, 92.508749
707.000000, 92.543596
706.000000, 92.624207
705.000000, 92.523518
704.000000, 92.564425
703.000000, 92.535435
702.000000, 92.458406
701.000000, 92.523825
700.000000, 92.533143
699.000000, 92.475888
698.000000, 92.521520
697.000000, 92.557043
696.000000, 92.516596
695.000000, 92.531416
694.000000, 92.529367
693.000000, 92.495196
692.000000, 92.553308
691.000000, 92.536821
690.000000, 92.516484
689.000000, 92.463306
688.000000, 92.484055
687.000000, 92.454075
686.000000, 92.495186
685.000000, 92.511426
684.000000, 92.398305
683.000000, 92.325888
682.000000, 92.354269
681.000000, 92.271302
680.000000, 92.300919
679.000000, 92.251430
678.000000, 92.336891
677.000000, 92.507713
676.000000, 92.457300
675.000000, 92.213724
674.000000, 92.512397
673.000000, 92.422155
672.000000, 92.447945
671.000000, 92.267445
670.000000, 92.441604
669.000000, 92.221366
668.000000, 92.210862
667.000000, 92.299648
666.000000, 92.393638
665.000000, 92.335626
664.000000, 92.301771
663.000000, 92.223078
662.000000, 92.247679
661.000000, 92.222283
660.000000, 92.234609
659.000000, 92.194961
658.000000, 92.233383
657.000000, 92.198387
656.000000, 92.020401
655.000000, 92.099348
654.000000, 92.118686
653.000000, 92.174056
652.000000, 92.173198
651.000000, 92.180393
650.000000, 92.099063
649.000000, 92.026487
648.000000, 92.096765
647.000000, 92.150208
646.000000, 92.153855
645.000000, 91.965896
644.000000, 91.993437
643.000000, 92.078775
642.000000, 91.973116
641.000000, 91.975309
640.000000, 92.083538
639.000000, 92.028431
638.000000, 91.951699
637.000000, 91.951513
636.000000, 91.961555
635.000000, 91.929671
634.000000, 91.989509
633.000000, 91.920074
632.000000, 91.943413
631.000000, 91.972915
630.000000, 91.824483
629.000000, 91.812674
628.000000, 91.866368
627.000000, 91.835063
626.000000, 91.857229
625.000000, 91.984921
624.000000, 91.875955
623.000000, 91.779476
622.000000, 91.792185
621.000000, 91.858687
620.000000, 91.862943
619.000000, 91.790393
618.000000, 91.857923
617.000000, 91.691233
616.000000, 91.716267
615.000000, 91.743169
614.000000, 91.621636
613.000000, 91.630269
612.000000, 91.658928
611.000000, 91.663937
610.000000, 91.659839
609.000000, 91.645722
608.000000, 91.647091
607.000000, 91.680787
606.000000, 91.627017
605.000000, 91.700383
604.000000, 91.516906
603.000000, 91.693553
602.000000, 91.585106
601.000000, 91.547294
600.000000, 91.494014
599.000000, 91.576414
598.000000, 91.634710
597.000000, 91.354782
596.000000, 91.524217
595.000000, 91.565208
594.000000, 91.453648
593.000000, 91.581030
592.000000, 91.637343
591.000000, 91.510783
590.000000, 91.513749
589.000000, 91.532992
588.000000, 91.455207
587.000000, 91.507818
586.000000, 91.534333
585.000000, 91.551791
584.000000, 91.617231
583.000000, 91.564528
582.000000, 91.455222
581.000000, 91.493027
580.000000, 91.436357
579.000000, 91.446709
578.000000, 91.399588
577.000000, 91.283995
576.000000, 91.329802
575.000000, 91.446119
574.000000, 91.328640
573.000000, 91.237776
572.000000, 91.387319
571.000000, 91.252029
570.000000, 91.251750
569.000000, 91.335315
568.000000, 91.239484
567.000000, 91.028373
566.000000, 91.112607
565.000000, 91.265026
564.000000, 90.998483
563.000000, 91.101981
562.000000, 90.943885
561.000000, 91.029975
560.000000, 91.023329
559.000000, 91.045534
558.000000, 90.933213
557.000000, 90.886491
556.000000, 91.063854
555.000000, 90.933258
554.000000, 90.840170
553.000000, 90.894162
552.000000, 90.728889
551.000000, 90.862196
550.000000, 90.809095
549.000000, 90.705982
548.000000, 90.733810
547.000000, 90.594172
546.000000, 90.566145
545.000000, 90.647359
544.000000, 90.609368
543.000000, 90.638685
542.000000, 90.484311
541.000000, 90.529915
540.000000, 90.490028
539.000000, 90.462889
538.000000, 90.482711
537.000000, 90.437018
536.000000, 90.273574
535.000000, 90.322211
534.000000, 90.333849
533.000000, 90.180567
532.000000, 90.257617
531.000000, 90.160262
530.000000, 90.344669
529.000000, 90.085165
528.000000, 89.987340
527.000000, 90.032897
526.000000, 89.989609
525.000000, 89.926645
524.000000, 89.893033
523.000000, 89.844925
522.000000, 89.907193
521.000000, 89.688389
520.000000, 89.602464
519.000000, 89.700320
518.000000, 89.445188
517.000000, 89.530812
516.000000, 89.506281
515.000000, 89.297405
514.000000, 89.348488
513.000000, 89.285714
512.000000, 89.275430
511.000000, 89.050279
510.000000, 89.171824
509.000000, 88.962342
508.000000, 88.982199
507.000000, 88.785047
506.000000, 88.674099
505.000000, 88.832729
504.000000, 88.619192
503.000000, 88.562910
502.000000, 88.389603
501.000000, 88.346900
500.000000, 88.225777
499.000000, 88.205621
498.000000, 87.988205
497.000000, 87.910169
496.000000, 87.941976
495.000000, 87.739394
494.000000, 87.579599
493.000000, 87.427078
492.000000, 87.308254
491.000000, 87.388434
490.000000, 87.132533
489.000000, 86.911413
488.000000, 86.967758
487.000000, 86.784766
486.000000, 86.703807
485.000000, 86.691519
484.000000, 86.386262
483.000000, 86.290423
482.000000, 86.117721
481.000000, 86.083512
480.000000, 85.992684
479.000000, 85.654675
478.000000, 85.547593
477.000000, 85.281027
476.000000, 85.184476
475.000000, 85.049962
474.000000, 84.878708
473.000000, 84.759755
472.000000, 84.460991
471.000000, 84.410770
470.000000, 84.201253
469.000000, 83.984554
468.000000, 83.717418
467.000000, 83.564983
466.000000, 83.195774
465.000000, 82.893340
464.000000, 82.704863
463.000000, 82.325022
462.000000, 81.850462
461.000000, 81.580187
460.000000, 81.238591
459.000000, 81.003730
458.000000, 80.621473
457.000000, 79.975413
456.000000, 79.646260
455.000000, 79.210237
454.000000, 78.923395
453.000000, 78.341173
452.000000, 78.147401
451.000000, 77.739702
450.000000, 77.265065
449.000000, 76.420195
448.000000, 76.560176
447.000000, 76.306620
446.000000, 75.621572
445.000000, 75.750197
444.000000, 75.493729
443.000000, 74.826489
442.000000, 74.651061
441.000000, 74.053541
440.000000, 73.734851
439.000000, 73.479480
438.000000, 73.144771
437.000000, 72.011945
436.000000, 71.108949
435.000000, 70.980185
434.000000, 69.606503
433.000000, 68.619792
432.000000, 67.359555
431.000000, 65.425614
430.000000, 64.280156
429.000000, 62.275684
428.000000, 59.641678
427.000000, 56.890263
426.000000, 54.195860
425.000000, 50.300168
424.000000, 46.161901
423.000000, 40.673450
422.000000, 36.154973
421.000000, 30.045175
420.000000, 24.798487
419.000000, 19.345263
418.000000, 14.995851
417.000000, 12.073425
416.000000, 10.376331
415.000000, 9.741517
414.000000, 9.358062
413.000000, 9.316982
412.000000, 9.169447
411.000000, 9.141727
410.000000, 9.106633
409.000000, 9.059324
408.000000, 9.082969
407.000000, 9.202562
406.000000, 9.037952
405.000000, 9.227905
404.000000, 9.297760
403.000000, 9.344791
402.000000, 9.231879
401.000000, 9.335629
400.000000, 9.326047
399.000000, 9.472334
398.000000, 9.547507
397.000000, 9.477577
396.000000, 9.623081
395.000000, 9.563020
394.000000, 9.719080
393.000000, 9.771586
392.000000, 9.972378
391.000000, 10.007661
390.000000, 10.165074
389.000000, 10.248206
388.000000, 10.367339
387.000000, 10.408703
386.000000, 10.559558
385.000000, 8.950586
384.000000, 7.166253
383.000000, 7.134281
382.000000, 4.157750
381.000000, 9.868683
380.000000, 6.967382
379.000000, 11.167461
378.000000, 9.811359
377.000000, 10.002058
376.000000, 11.070496
375.000000, 11.619128
374.000000, 9.705446
373.000000, 10.184988
372.000000, 10.823352
371.000000, 9.808404
370.000000, 12.194859
369.000000, 11.473603
368.000000, 10.540331
367.000000, 11.070944
366.000000, 10.688058
365.000000, 10.983644
364.000000, 11.320538
363.000000, 10.778513
362.000000, 12.162004
361.000000, 11.146273
360.000000, 12.582469
359.000000, 10.274379
358.000000, 12.056909
357.000000, 11.267435
356.000000, 10.683865
355.000000, 11.660820
354.000000, 10.287314
353.000000, 11.115251
352.000000, 10.907263
351.000000, 10.637237
350.000000, 10.033695
349.000000, 10.575428
348.000000, 10.231906
347.000000, 12.026127
346.000000, 9.456819
345.000000, 12.066029
344.000000, 11.574854
343.000000, 8.875661
342.000000, 10.954533
341.000000, 9.705326
340.000000, 9.239277
339.000000, 8.533155
338.000000, 9.840713
337.000000, 9.807666
336.000000, 9.109904
335.000000, 8.272338
334.000000, 10.355800
333.000000, 10.894722
332.000000, 12.131290
331.000000, 8.879039
330.000000, 10.233577
329.000000, 5.905102
328.000000, 6.151116
327.000000, 7.506361
326.000000, 9.565581
325.000000, 9.241673
324.000000, 8.756091
323.000000, 7.633698
322.000000, 8.475804
321.000000, 8.667923
320.000000, 9.476309
319.000000, 8.676950
318.000000, 8.497994
317.000000, 9.020542
316.000000, 9.244713
315.000000, 8.324472
314.000000, 9.101979
313.000000, 8.765984
312.000000, 8.971587
311.000000, 8.766950
310.000000, 9.439949
309.000000, 8.592000
308.000000, 9.189276
307.000000, 8.853151
306.000000, 9.381205
305.000000, 9.362616
304.000000, 8.485356
303.000000, 9.114010
302.000000, 9.070759
301.000000, 8.854701
300.000000, 9.250260
