nm, %T
900.000000, 72.196659
899.000000, 72.164845
898.000000, 72.385884
897.000000, 72.302122
896.000000, 72.362316
895.000000, 72.248876
894.000000, 72.371552
893.000000, 72.369490
892.000000, 71.987600
891.000000, 72.097417
890.000000, 72.013303
889.000000, 71.934325
888.000000, 71.625853
887.000000, 71.477929
886.000000, 71.091491
885.000000, 70.895445
884.000000, 70.420779
883.000000, 69.917896
882.000000, 69.616950
881.000000, 69.351711
880.000000, 69.183116
879.000000, 69.309800
878.000000, 69.264481
877.000000, 69.352107
876.000000, 69.575835
875.000000, 69.873809
874.000000, 70.046943
873.000000, 70.061415
872.000000, 70.423970
871.000000, 70.813166
870.000000, 71.120224
869.000000, 71.297900
868.000000, 71.412325
867.000000, 71.420032
866.000000, 71.678093
865.000000, 71.592891
864.000000, 71.831911
863.000000, 72.019531
862.000000, 71.921452
861.000000, 72.167162
860.000000, 72.161476
859.000000, 72.276022
858.000000, 72.261964
857.000000, 72.339243
856.000000, 72.375967
855.000000, 72.084077
854.000000, 72.216017
853.000000, 72.083938
852.000000, 72.105145
851.000000, 72.181338
850.000000, 71.953752
849.000000, 72.201556
848.000000, 72.025252
847.000000, 72.078693
846.000000, 71.971496
845.000000, 71.984590
844.000000, 72.024317
843.000000, 71.926044
842.000000, 71.898619
841.000000, 71.948791
840.000000, 71.939124
839.000000, 71.897143
838.000000, 71.802193
837.000000, 71.732176
836.000000, 71.700595
835.000000, 71.875894
834.000000, 71.683395
833.000000, 71.662656
832.000000, 71.672022
831.000000, 71.472779
830.000000, 71.678161
829.000000, 71.390880
828.000000, 71.618205
827.000000, 71.373652
826.000000, 71.410507
825.000000, 71.404759
824.000000, 71.372752
823.000000, 71.366120
822.000000, 71.277452
821.000000, 71.303798
820.000000, 71.187999
819.000000, 71.183908
818.000000, 71.188096
817.000000, 71.173396
816.000000, 71.107793
815.000000, 71.113536
814.000000, 70.955524
813.000000, 71.014742
812.000000, 70.849576
811.000000, 70.927835
810.000000, 70.854099
809.000000, 70.897957
808.000000, 70.850017
807.000000, 70.743556
806.000000, 70.659504
805.000000, 70.624822
804.000000, 70.817409
803.000000, 70.583875
802.000000, 70.582873
801.000000, 70.507857
800.000000, 70.542062
799.000000, 70.592584
798.000000, 70.433647
797.000000, 70.265677
796.000000, 70.502578
795.000000, 70.287558
794.000000, 70.290921
793.000000, 70.249477
792.000000, 70.298988
791.000000, 70.245087
790.000000, 70.206156
789.000000, 70.092457
788.000000, 70.146479
787.000000, 70.032060
786.000000, 69.998876
785.000000, 69.992136
784.000000, 69.937721
783.000000, 69.881614
782.000000, 69.874524
781.000000, 69.805831
780.000000, 69.767442
779.000000, 69.757952
778.000000, 69.678681
777.000000, 69.626691
776.000000, 69.508252
775.000000, 69.528638
774.000000, 69.478784
773.000000, 69.377778
772.000000, 69.332371
771.000000, 69.291339
770.000000, 69.354928
769.000000, 69.131904
768.000000, 69.067375
767.000000, 69.219693
766.000000, 68.977336
765.000000, 69.026695
764.000000, 68.843583
763.000000, 68.795540
762.000000, 68.769994
761.000000, 68.672108
760.000000, 68.661739
759.000000, 68.691151
758.000000, 68.601133
757.000000, 68.501210
756.000000, 68.469606
755.000000, 68.410938
754.000000, 68.394777
753.000000, 68.329861
752.000000, 68.177836
751.000000, 68.130785
750.000000, 68.130544
749.000000, 68.100947
748.000000, 68.046367
747.000000, 67.970032
746.000000, 68.052289
745.000000, 67.981426
744.000000, 67.932259
743.000000, 67.913300
742.000000, 67.847203
741.000000, 67.839991
740.000000, 67.763409
739.000000, 67.726802
738.000000, 67.741056
737.000000, 67.686685
736.000000, 67.603945
735.000000, 67.578764
