nm, %T
900.000000, 66.614984
899.000000, 66.664995
898.000000, 66.901267
897.000000, 66.589560
896.000000, 66.673391
895.000000, 66.577446
894.000000, 66.818527
893.000000, 66.626041
892.000000, 66.646338
891.000000, 66.787501
890.000000, 66.569455
889.000000, 66.310929
888.000000, 66.045485
887.000000, 65.826114
886.000000, 65.587567
885.000000, 65.238095
884.000000, 64.924675
883.000000, 64.612347
882.000000, 64.194760
881.000000, 64.021802
880.000000, 63.864973
879.000000, 63.835616
878.000000, 63.841808
877.000000, 64.048274
876.000000, 63.964538
875.000000, 64.421490
874.000000, 64.525765
873.000000, 64.411215
872.000000, 64.747816
871.000000, 64.924169
870.000000, 65.270883
869.000000, 65.528253
868.000000, 65.563739
867.000000, 65.670344
866.000000, 65.785178
865.000000, 65.814435
864.000000, 65.982710
863.000000, 66.116201
862.000000, 66.024903
861.000000, 66.226187
860.000000, 66.130992
859.000000, 66.216590
858.000000, 66.356125
857.000000, 66.275774
856.000000, 66.189654
855.000000, 66.229929
854.000000, 66.022562
853.000000, 66.112289
852.000000, 65.995965
851.000000, 66.058087
850.000000, 65.841612
849.000000, 65.973396
848.000000, 65.813652
847.000000, 65.894058
846.000000, 65.908834
845.000000, 65.803637
844.000000, 65.973524
843.000000, 65.630672
842.000000, 65.874865
841.000000, 65.559033
840.000000, 65.646375
839.000000, 65.828571
838.000000, 65.355185
837.000000, 65.476463
836.000000, 65.393413
835.000000, 65.355773
834.000000, 65.339834
833.000000, 65.257248
832.000000, 65.216892
831.000000, 65.214900
830.000000, 65.281609
829.000000, 65.184973
828.000000, 65.141938
827.000000, 65.039018
826.000000, 64.938499
825.000000, 64.967238
824.000000, 64.931334
823.000000, 64.877768
822.000000, 64.815454
821.000000, 64.741711
820.000000, 64.687626
819.000000, 64.856322
818.000000, 64.552453
817.000000, 64.413302
816.000000, 64.612646
815.000000, 64.629874
814.000000, 64.361549
813.000000, 64.286124
812.000000, 64.274249
811.000000, 64.272623
810.000000, 64.214928
809.000000, 64.224804
808.000000, 64.014415
807.000000, 64.148140
806.000000, 64.013030
805.000000, 63.988588
804.000000, 63.966688
803.000000, 63.929753
802.000000, 63.705772
801.000000, 63.738328
800.000000, 63.830271
799.000000, 63.756824
798.000000, 63.707572
797.000000, 63.490625
796.000000, 63.635333
795.000000, 63.330692
794.000000, 63.436722
793.000000, 63.472309
792.000000, 63.352738
791.000000, 63.304721
790.000000, 63.315448
789.000000, 63.208930
788.000000, 63.211268
787.000000, 62.995669
786.000000, 62.959631
785.000000, 62.959218
784.000000, 62.957976
783.000000, 62.935533
782.000000, 62.850101
781.000000, 62.721728
780.000000, 62.628578
779.000000, 62.653027
778.000000, 62.632020
777.000000, 62.657874
776.000000, 62.388492
775.000000, 62.352351
774.000000, 62.406727
773.000000, 62.183333
772.000000, 62.223209
771.000000, 62.160364
770.000000, 62.183149
769.000000, 61.985486
768.000000, 61.898440
767.000000, 61.920585
766.000000, 61.813156
765.000000, 61.797380
764.000000, 61.616664
763.000000, 61.569883
762.000000, 61.516823
761.000000, 61.486710
760.000000, 61.402251
759.000000, 61.351247
758.000000, 61.207987
757.000000, 61.232681
756.000000, 61.105925
755.000000, 61.135515
754.000000, 61.005047
753.000000, 60.883869
752.000000, 60.775296
751.000000, 60.808368
750.000000, 60.705290
749.000000, 60.721520
748.000000, 60.588332
747.000000, 60.576397
746.000000, 60.558989
745.000000, 60.464354
744.000000, 60.475280
743.000000, 60.395283
742.000000, 60.365621
741.000000, 60.270683
740.000000, 60.200797
739.000000, 60.171295
738.000000, 60.160340
737.000000, 60.132002
736.000000, 60.116615
735.000000, 60.051237
734.000000, 59.994549
733.000000, 59.880142
732.000000, 59.824542
731.000000, 59.773309
730.000000, 59.752710
729.000000, 59.696045
728.000000, 59.559865
727.000000, 59.551052
726.000000, 59.478905
725.000000, 59.437817
724.000000, 59.241500
723.000000, 59.185787
722.000000, 59.103794
721.000000, 58.869035
720.000000, 58.891556
719.000000, 58.804603
718.000000, 58.746793
717.000000, 58.601887
716.000000, 58.555071
715.000000, 58.569714
714.000000, 58.551231
713.000000, 58.473882
712.000000, 58.382923
711.000000, 58.381124
710.000000, 58.368395
709.000000, 58.280533
708.000000, 58.256780
707.000000, 58.208058
706.000000, 58.185599
705.000000, 58.039816
704.000000, 58.051102
703.000000, 57.899633
702.000000, 57.864492
701.000000, 57.777413
700.000000, 57.735291
699.000000, 57.650153
698.000000, 57.612808
697.000000, 57.547170
696.000000, 57.458715
695.000000, 57.339626
694.000000, 57.311450
693.000000, 57.205600
692.000000, 57.204880
691.000000, 57.040009
690.000000, 56.978022
689.000000, 56.907262
688.000000, 56.823180
687.000000, 56.748433
686.000000, 56.704264
685.000000, 56.632344
684.000000, 56.476028
683.000000, 56.381340
682.000000, 56.305389
681.000000, 56.125199
680.000000, 55.979308
679.000000, 55.889793
678.000000, 55.979756
677.000000, 55.916703
676.000000, 55.691460
675.000000, 55.681506
674.000000, 55.663912
673.000000, 55.546983
672.000000, 55.524953
671.000000, 55.433166
670.000000, 55.437417
669.000000, 55.286610
668.000000, 55.084653
667.000000, 55.195949
666.000000, 55.055314
665.000000, 54.960110
664.000000, 54.992852
663.000000, 54.790452
662.000000, 54.804681
661.000000, 54.713351
660.000000, 54.626833
659.000000, 54.443164
658.000000, 54.459630
657.000000, 54.271136
656.000000, 54.288691
655.000000, 54.153188
654.000000, 54.110678
653.000000, 54.019839
652.000000, 53.883256
651.000000, 53.822127
650.000000, 53.777875
649.000000, 53.647458
648.000000, 53.560287
647.000000, 53.399387
646.000000, 53.427209
645.000000, 53.243701
644.000000, 53.169264
643.000000, 53.014223
642.000000, 52.958855
641.000000, 52.818748
640.000000, 52.790990
639.000000, 52.777474
638.000000, 52.578953
637.000000, 52.418914
636.000000, 52.386413
635.000000, 52.244185
634.000000, 52.188405
633.000000, 51.995414
632.000000, 51.977278
631.000000, 51.941244
630.000000, 51.770998
629.000000, 51.672944
628.000000, 51.640373
627.000000, 51.490989
626.000000, 51.388965
625.000000, 51.270284
624.000000, 51.113780
623.000000, 51.151747
622.000000, 50.933202
621.000000, 50.857268
620.000000, 50.789661
619.000000, 50.649563
618.000000, 50.666667
617.000000, 50.365760
616.000000, 50.357669
615.000000, 50.163934
614.000000, 50.030020
613.000000, 49.934484
612.000000, 49.740536
611.000000, 49.606944
610.000000, 49.505708
609.000000, 49.333406
608.000000, 49.237913
607.000000, 49.155507
606.000000, 49.040197
605.000000, 48.911974
604.000000, 48.675370
603.000000, 48.553617
602.000000, 48.455356
601.000000, 48.223073
600.000000, 48.051167
599.000000, 47.888634
598.000000, 47.748439
597.000000, 47.581528
596.000000, 47.408503
595.000000, 47.241417
594.000000, 46.999451
593.000000, 46.864868
592.000000, 46.613152
591.000000, 46.319322
590.000000, 46.156389
589.000000, 45.769252
588.000000, 45.603486
587.000000, 45.367147
586.000000, 45.000830
585.000000, 44.688036
584.000000, 44.342186
583.000000, 44.013089
582.000000, 43.651102
581.000000, 43.173862
580.000000, 42.818217
579.000000, 42.476891
578.000000, 42.004348
577.000000, 41.534775
576.000000, 41.115138
575.000000, 40.630932
574.000000, 40.099452
573.000000, 39.508243
572.000000, 39.050870
571.000000, 38.467566
570.000000, 37.849342
569.000000, 37.356290
568.000000, 36.707796
567.000000, 36.161265
566.000000, 35.465410
565.000000, 34.776991
564.000000, 34.219250
563.000000, 33.616614
562.000000, 32.824900
561.000000, 32.352941
560.000000, 31.674744
559.000000, 30.987982
558.000000, 30.237679
557.000000, 29.549692
556.000000, 28.844522
555.000000, 28.059955
554.000000, 27.417256
553.000000, 26.649301
552.000000, 26.119952
551.000000, 25.440735
550.000000, 24.664059
549.000000, 23.992061
548.000000, 23.165476
547.000000, 22.672639
546.000000, 21.982074
545.000000, 21.527541
544.000000, 20.964075
543.000000, 20.468634
542.000000, 19.946567
541.000000, 19.606838
540.000000, 19.065527
539.000000, 18.595371
538.000000, 18.338469
537.000000, 17.909169
536.000000, 17.602376
535.000000, 17.346764
534.000000, 17.058925
533.000000, 16.812840
532.000000, 16.638935
531.000000, 16.422540
530.000000, 16.168940
529.000000, 15.979975
528.000000, 15.657728
527.000000, 15.490275
526.000000, 15.281145
525.000000, 14.838561
524.000000, 14.553339
523.000000, 14.078232
522.000000, 13.770302
521.000000, 13.236233
520.000000, 12.919912
519.000000, 12.411987
518.000000, 12.120859
517.000000, 11.910598
516.000000, 11.633070
515.000000, 11.439093
514.000000, 11.430748
513.000000, 11.206897
512.000000, 11.147676
511.000000, 11.043811
510.000000, 11.170056
509.000000, 11.138000
508.000000, 11.082855
